,id,region,price,year,manufacturer,model,fuel,odometer,transmission,size,type,state
19480,7314576997,little rock,7200,2010,honda,oddessy exl,gas,126,automatic,full-size,van,ar
19501,7314411622,little rock,17950,2011,rover,sport,gas,83600,automatic,full-size,SUV,ar
19523,7314190711,little rock,9500,2002,chrysler,pt cruiser limited edit,gas,29000,automatic,compact,coupe,ar
19544,7314048323,little rock,4250,2002,nissan,xterra 4x4,gas,204000,automatic,mid-size,SUV,ar
19547,7314032234,little rock,10500,2013,gmc,terrain slt,gas,99545,automatic,sub-compact,SUV,ar
19551,7314001715,little rock,3650,1998,chevrolet,suburban 1500,gas,259000,automatic,full-size,SUV,ar
19553,7313984739,little rock,1500,2007,lincoln,town car,gas,322429,automatic,full-size,sedan,ar
19573,7313876531,little rock,29900,2017,ford,expedition platinum 4x4 gas,gas,72849,automatic,full-size,SUV,ar
19586,7313754775,little rock,15200,2017,chevrolet,malibu,gas,37500,automatic,full-size,sedan,ar
19596,7313717947,little rock,12500,2011,mercedes-benz,benz c300,gas,155000,automatic,full-size,sedan,ar
19597,7313709083,little rock,10490,2015,toyota,camry,gas,57320,automatic,mid-size,sedan,ar
19601,7313655018,little rock,20000,1963,chevrolet,ii nova ss,gas,28000,automatic,mid-size,coupe,ar
19602,7313653234,little rock,6950,2007,ford,f350 super duty,gas,115000,automatic,full-size,bus,ar
19608,7313581739,little rock,17995,2017,hyundai,santa fe,gas,48000,automatic,full-size,SUV,ar
19609,7313577877,little rock,5995,1998,ford,f-150,gas,145000,manual,full-size,truck,ar
19612,7313542585,little rock,4400,2006,mercedes-benz,e-class,gas,167179,automatic,full-size,sedan,ar
19642,7313403807,little rock,11000,2015,ford,escape,gas,98000,automatic,mid-size,SUV,ar
19664,7313319835,little rock,33700,2017,lexus,gs 350 f sport,gas,35800,automatic,full-size,sedan,ar
19676,7313307057,little rock,7500,2010,honda,cr-v,gas,110014,automatic,mid-size,SUV,ar
19692,7313166800,little rock,1,1972,chevrolet,monte carlo,gas,105000,automatic,full-size,coupe,ar
19694,7313160265,little rock,1395,2003,gmc,sierra 1500,gas,280000,automatic,full-size,pickup,ar
19710,7313051641,little rock,32900,2011,ford,f-450 sd,gas,121000,automatic,full-size,truck,ar
19711,7313050068,little rock,15000,1995,chevrolet,corvette,gas,97000,manual,mid-size,coupe,ar
19713,7313021517,little rock,8900,2014,dodge,grand caravan sxt,gas,102000,automatic,full-size,mini-van,ar
19717,7313000196,little rock,26900,2019,ford,mustang ecoboost premium,gas,35000,automatic,mid-size,coupe,ar
19726,7312862395,little rock,1500,2007,lincoln,town car,gas,322429,automatic,full-size,sedan,ar
19727,7312859125,little rock,2500,2007,dodge,caravan,gas,185000,automatic,full-size,mini-van,ar
19728,7312848953,little rock,2995,2001,mercedes-benz,ml320,gas,200000,automatic,full-size,SUV,ar
19729,7312845816,little rock,1900,1996,mercury,grand marquis,gas,190000,automatic,full-size,sedan,ar
19735,7312782324,little rock,20000,2013,lexus,gs 350,gas,90600,automatic,full-size,sedan,ar
19746,7312691212,little rock,1800,1999,toyota,camry,gas,280000,automatic,full-size,sedan,ar
19747,7312678739,little rock,7295,2011,honda,accord ex-l,gas,190000,automatic,mid-size,sedan,ar
19748,7312662676,little rock,8500,2004,bmw,745li,gas,151000,automatic,full-size,sedan,ar
19750,7312639222,little rock,10,2013,chevrolet,coupe,gas,44000,manual,full-size,coupe,ar
19770,7312522913,little rock,3500,2009,volkswagen,jetta,gas,214000,manual,full-size,sedan,ar
19790,7312411975,little rock,6500,1994,chevrolet,corvette,gas,119656,automatic,compact,coupe,ar
19807,7312203950,little rock,6995,2004,ford,f-150,gas,196123,automatic,full-size,pickup,ar
19809,7312191332,little rock,10500,2002,gmc,sierra 1500,gas,107200,automatic,full-size,pickup,ar
19824,7311937341,little rock,7500,1986,chevrolet,c10,gas,16953,automatic,full-size,pickup,ar
19831,7311873994,little rock,10800,2012,honda,accord exl,gas,125364,automatic,full-size,sedan,ar
19862,7311741697,little rock,7950,2018,nissan,versa sv,gas,48950,automatic,compact,sedan,ar
19865,7311701401,little rock,37900,2020,chevrolet,silverado 1500,gas,5622,automatic,full-size,truck,ar
19866,7311701406,little rock,29900,2019,ford,f-150,gas,23004,automatic,full-size,truck,ar
19867,7311701408,little rock,9500,2014,ford,transit connect,gas,219581,automatic,full-size,van,ar
19868,7311701394,little rock,32900,2019,ford,transit,gas,6735,automatic,full-size,van,ar
19869,7311701387,little rock,31900,2019,ford,transit,gas,29497,automatic,mid-size,van,ar
19870,7311701390,little rock,11500,2013,chevrolet,express,gas,228699,automatic,full-size,van,ar
19871,7311701391,little rock,33900,2019,gmc,savana,gas,24585,automatic,full-size,van,ar
19872,7311701270,little rock,22300,2017,ford,transit 150,gas,113617,automatic,full-size,van,ar
19873,7311701250,little rock,23900,2017,ford,transit 150,gas,108482,automatic,full-size,van,ar
19874,7311701256,little rock,17600,2014,ford,transit connect,gas,45026,automatic,full-size,van,ar
19875,7311698783,little rock,22900,2016,jeep,grand cherokee,gas,72000,automatic,full-size,SUV,ar
19888,7311610336,little rock,4250,2008,dodge,durango,gas,177000,automatic,full-size,SUV,ar
19892,7311588015,little rock,87700,2020,ford,f250 king ranch,diesel,12900,automatic,full-size,truck,ar
19897,7311555824,little rock,26888,2018,chevrolet,colorado crew cab lt,gas,47000,automatic,mid-size,truck,ar
19902,7311539240,little rock,8750,2005,chevrolet,express 3500,gas,160000,automatic,full-size,truck,ar
19952,7311190970,little rock,7000,2017,jaguar,xe,gas,11700,automatic,mid-size,sedan,ar
19954,7311175632,little rock,16900,2015,gmc,terrain,gas,83801,automatic,mid-size,SUV,ar
20004,7310688999,little rock,9500,2007,cadillac,dts,gas,114101,automatic,full-size,sedan,ar
20012,7310576578,little rock,35000,2017,jeep,wrangler unlimited sahara 4,gas,60840,automatic,full-size,SUV,ar
20033,7310449212,little rock,21000,2015,nissan,frontier sv crew cab,gas,72000,automatic,mid-size,truck,ar
20052,7310315181,little rock,3350,2004,jeep,grand cherokee,gas,239000,automatic,mid-size,SUV,ar
20073,7310149519,little rock,6500,1997,lincoln,town car,gas,59000,automatic,full-size,sedan,ar
20075,7310139184,little rock,12500,1969,ford,galaxie 500 xl,gas,59938,automatic,full-size,other,ar
20085,7310024462,little rock,24750,2019,honda,insight,hybrid,53581,automatic,full-size,sedan,ar
20091,7309999191,little rock,5000,2013,volkswagen,cc,gas,200000,automatic,mid-size,coupe,ar
20101,7309953688,little rock,0,2016,toyota,4runner trd pro,gas,45286,automatic,full-size,SUV,ar
20110,7309866908,little rock,17000,2009,toyota,tacoma,gas,165500,automatic,mid-size,pickup,ar
20113,7309855934,little rock,5900,2012,honda,civic,gas,228000,automatic,compact,sedan,ar
20119,7309820999,little rock,8950,2016,nissan,sentra,gas,51000,automatic,compact,sedan,ar
20128,7309606912,little rock,3250,1986,chevrolet,c2500,gas,27042,manual,full-size,pickup,ar
20143,7309487897,little rock,0,1992,toyota,land cruiser prado,diesel,160000,automatic,full-size,SUV,ar
20179,7309284913,little rock,39900,2015,chevrolet,silverado 1500,gas,30063,automatic,full-size,truck,ar
20180,7309284836,little rock,11900,2006,chrysler,town country lwb,gas,52322,automatic,full-size,van,ar
20183,7309252258,little rock,20888,2019,chevrolet,equinox 2lt,gas,35000,automatic,full-size,SUV,ar
20185,7309243365,little rock,65955,2017,ford,f250 4x4 platinum,diesel,83120,automatic,full-size,truck,ar
20209,7308974954,little rock,4250,2001,chevrolet,silverado,gas,188000,automatic,full-size,pickup,ar
20212,7308840199,little rock,2800,2008,ford,fusion se,gas,140000,automatic,mid-size,sedan,ar
20213,7308818601,little rock,5800,2003,ford,windstar,gas,76456,automatic,mid-size,mini-van,ar
20215,7308726745,little rock,11800,2012,honda,accord exl,gas,125364,automatic,full-size,sedan,ar
20226,7308604277,little rock,38000,2015,ford,f-250 transit van,diesel,23000,automatic,full-size,van,ar
20228,7308566587,little rock,5950,2007,lexus,es 350,gas,105000,automatic,full-size,sedan,ar
20229,7308550767,little rock,6500,2010,hyundai,sonata,gas,93300,automatic,mid-size,sedan,ar
20230,7308519461,little rock,30000,2008,ram,4500,diesel,138500,automatic,full-size,truck,ar
20233,7308448441,little rock,21500,2016,dodge,charger,gas,72329,automatic,full-size,sedan,ar
20234,7308439005,little rock,16950,1985,chevrolet,scottsdale,gas,102022,automatic,full-size,truck,ar
20236,7308393509,little rock,5995,2010,jeep,commander,gas,219571,automatic,mid-size,SUV,ar
20238,7308382341,little rock,0,2015,chevrolet,silverado 2500hd,diesel,186091,automatic,full-size,pickup,ar
20239,7308374992,little rock,0,2015,jaguar,xf,gas,63363,automatic,full-size,sedan,ar
20250,7308287879,little rock,7200,2010,honda,oddessy exl,gas,126,automatic,full-size,van,ar
20254,7308246425,little rock,8500,2006,chevrolet,express 2500 cargo van,gas,50500,automatic,full-size,van,ar
20261,7308221057,little rock,65000,2017,ford,f250 4x4 platinum,diesel,83120,automatic,full-size,truck,ar
20284,7308061677,little rock,8999,2001,toyota,tacoma 4x4,gas,200000,automatic,mid-size,truck,ar
20285,7308058545,little rock,18500,2012,ford,f150,gas,159503,automatic,full-size,truck,ar
20297,7307978568,little rock,11941,2010,ford,f150 lariat,gas,240484,automatic,full-size,truck,ar
20324,7307780906,little rock,20888,2019,chevrolet,equinox 2lt,gas,35000,automatic,full-size,SUV,ar
20337,7307718997,little rock,15900,2005,chevrolet,avalanche,gas,127000,automatic,full-size,SUV,ar
20339,7307712395,little rock,8888,2012,honda,accord lx sedan,gas,122000,automatic,full-size,sedan,ar
20341,7307704732,little rock,3750,2008,kia,sorento,gas,168000,automatic,full-size,SUV,ar
20342,7307698595,little rock,46911,2019,ram,1500 laramie 4x4,gas,20300,automatic,full-size,truck,ar
20346,7307673516,little rock,26800,2017,alfa-romeo,romeo giulia ti,gas,37500,automatic,full-size,sedan,ar
20349,7307553291,little rock,900,1963,mercury,comet,gas,89000,automatic,mid-size,sedan,ar
20350,7307543032,little rock,5500,2001,chevrolet,suburban,gas,200000,automatic,full-size,SUV,ar
20355,7307507076,little rock,27860,2014,gmc,sierra 1500 slt,gas,95000,automatic,full-size,truck,ar
20356,7307506292,little rock,33700,2019,ram,1500,gas,68300,automatic,full-size,truck,ar
20383,7307305639,little rock,23900,2010,chevrolet,camaro,gas,25933,automatic,compact,coupe,ar
20470,7306538044,little rock,1950,2003,chevrolet,trailblazer,gas,130000,automatic,full-size,SUV,ar
20508,7306276045,little rock,14900,2007,chevrolet,silverado 1500,gas,146000,automatic,full-size,truck,ar
20515,7306230828,little rock,20980,2017,hyundai,santa fe,gas,61012,automatic,mid-size,SUV,ar
20520,7306128867,little rock,2500,2007,dodge,caravan,gas,185000,automatic,full-size,mini-van,ar
20522,7306057673,little rock,5500,2009,jeep,grand cherokee,gas,122543,automatic,mid-size,SUV,ar
20529,7306006078,little rock,31500,2016,toyota,tundra,gas,86000,automatic,full-size,offroad,ar
20532,7305898864,little rock,9200,1996,ford,f800,diesel,196000,automatic,full-size,other,ar
20544,7305619620,little rock,5900,2006,lincoln,town car limousine,gas,105206,automatic,full-size,sedan,ar
20548,7305592679,little rock,13900,2012,ford,f150 lariat supercrew 4x4,gas,184000,automatic,full-size,truck,ar
20558,7305498761,little rock,5500,2003,chevrolet,tahoe,gas,200000,automatic,compact,SUV,ar
20560,7305481634,little rock,800,2005,chevrolet,trailblazer,gas,160000,automatic,mid-size,truck,ar
20561,7305478028,little rock,33999,2015,gmc,yukon denali,gas,117400,automatic,full-size,SUV,ar
20565,7305451930,little rock,0,2009,mitsubishi,lancer gts,gas,169429,automatic,mid-size,sedan,ar
20566,7305451770,little rock,0,2010,chevrolet,suburban ltz,gas,215096,automatic,full-size,SUV,ar
20567,7305451160,little rock,0,2016,nissan,frontier,gas,194102,automatic,full-size,pickup,ar
20568,7305449499,little rock,0,2017,toyota,camry se,gas,175973,automatic,full-size,sedan,ar
20569,7305446590,little rock,0,2016,kia,sorento lx,gas,114169,automatic,mid-size,SUV,ar
20570,7305443456,little rock,2900,2009,dodge,avenger,gas,83947,automatic,compact,sedan,ar
20571,7305434056,little rock,20800,2014,chevrolet,silverado 1500 work tr,gas,70300,automatic,full-size,truck,ar
20572,7305430035,little rock,32888,2019,ram,1500,gas,68300,automatic,full-size,truck,ar
20573,7305423379,little rock,27860,2014,gmc,sierra 1500 slt,gas,95000,automatic,full-size,truck,ar
20575,7305321269,little rock,1250,2006,mercedes-benz,c230 kompressor,gas,500000,other,mid-size,sedan,ar
20576,7305273310,little rock,10980,2005,gmc,kodiak 5500,gas,166212,automatic,full-size,truck,ar
20577,7305264286,little rock,3800,2008,toyota,pruis hybrid,gas,192000,automatic,compact,hatchback,ar
20578,7305171661,little rock,11800,2012,honda,accord exl,gas,125364,automatic,full-size,sedan,ar
20602,7304787513,little rock,43720,2018,chevrolet,silverado 2500hd 4x4,diesel,84250,automatic,full-size,truck,ar
20603,7304784594,little rock,25900,2019,nissan,frontier sv crew cab,gas,8400,automatic,mid-size,truck,ar
20613,7304640371,little rock,5995,2009,volvo,s80,gas,174435,automatic,full-size,sedan,ar
20614,7304635498,little rock,5995,2006,honda,element ex awd,gas,131354,automatic,full-size,SUV,ar
20615,7304634018,little rock,8900,2008,ford,expedition,gas,238000,automatic,full-size,SUV,ar
20644,7304400932,little rock,32000,2015,ford,f-250,diesel,80000,automatic,full-size,pickup,ar
20652,7304342689,little rock,6000,1990,toyota,4runner,gas,200000,manual,mid-size,SUV,ar
20663,7304306546,little rock,10500,2008,chevrolet,suburban lt,gas,178500,automatic,full-size,SUV,ar
20679,7304216521,little rock,28250,2019,ram,2500,gas,22315,automatic,full-size,pickup,ar
20692,7304004336,little rock,4250,2001,chevrolet,silverado,gas,188000,automatic,full-size,pickup,ar
20700,7303966305,little rock,25000,2016,chevrolet,silverado 1500,gas,120000,automatic,full-size,truck,ar
20711,7303904638,little rock,17500,2020,hyundai,sonata,gas,36949,automatic,full-size,sedan,ar
20743,7303725866,little rock,3900,2008,toyota,pruis hybrid,gas,192000,automatic,compact,hatchback,ar
20744,7303693296,little rock,7500,1965,jeep,j200 gladiator,gas,50000,manual,full-size,truck,ar
20753,7303639982,little rock,29600,2019,gmc,savana,gas,30052,automatic,full-size,van,ar
20754,7303639970,little rock,9500,2014,ford,transit connect,gas,219581,automatic,full-size,van,ar
20755,7303639939,little rock,37900,2020,chevrolet,silverado 1500,gas,5622,automatic,full-size,truck,ar
20756,7303639944,little rock,34800,2019,ford,transit,gas,31020,automatic,full-size,van,ar
20757,7303639946,little rock,31900,2019,ford,transit 250,gas,29497,automatic,full-size,van,ar
20758,7303639948,little rock,20300,2017,ford,transit 150,gas,141625,automatic,full-size,van,ar
20759,7303639950,little rock,38300,2020,ford,transit,gas,7540,automatic,full-size,van,ar
20760,7303639936,little rock,36700,2019,ford,transit 250,gas,14985,automatic,full-size,van,ar
20761,7303640017,little rock,32800,2018,ford,transit,gas,43479,automatic,full-size,van,ar
20762,7303639921,little rock,24900,2016,ford,econoline,gas,122238,automatic,full-size,truck,ar
20765,7303599486,little rock,8500,1964,chevrolet,malibu,gas,100000,manual,mid-size,coupe,ar
20766,7303592830,little rock,13000,1968,pontiac,gto,gas,100000,manual,mid-size,coupe,ar
20767,7303568684,little rock,16995,2016,gmc,acadia,gas,72000,automatic,full-size,SUV,ar
20776,7303511043,little rock,25900,2019,nissan,frontier sv crew cab,gas,8400,automatic,mid-size,truck,ar
20777,7303508355,little rock,28174,2018,chevrolet,traverse premier,gas,87200,automatic,full-size,SUV,ar
20778,7303489277,little rock,43720,2018,chevrolet,silverado 2500hd 4x4,diesel,84250,automatic,full-size,truck,ar
20779,7303488405,little rock,27860,2014,gmc,sierra 1500 slt,gas,95000,automatic,full-size,truck,ar
20780,7303483078,little rock,32888,2019,ram,1500,gas,68300,automatic,full-size,truck,ar
20781,7303480934,little rock,20800,2014,chevrolet,silverado 1500 work tr,gas,70300,automatic,full-size,truck,ar
20793,7303360197,little rock,9300,2016,mazda,6,gas,140000,automatic,mid-size,sedan,ar
20795,7303355997,little rock,11995,2003,ford,super duty f-250,diesel,191354,automatic,full-size,truck,ar
20797,7303330767,little rock,55900,2021,dodge,charger r/t scat pack,gas,2100,automatic,full-size,sedan,ar
20798,7303327780,little rock,4995,2005,gmc,yukon,gas,290044,automatic,full-size,SUV,ar
20807,7303298315,little rock,10995,2012,honda,odyssey,gas,144442,automatic,full-size,mini-van,ar
20822,7303149604,little rock,54988,2019,ram,pickup 1500,gas,11096,automatic,full-size,pickup,ar
20823,7303129738,little rock,15000,1974,volkswagen,beetle sedan,gas,50000,manual,compact,convertible,ar
20862,7302739511,little rock,4800,2005,honda,civic coupe,gas,144000,automatic,mid-size,coupe,ar
20867,7302677839,little rock,10995,2013,kia,optima ex,gas,116000,automatic,full-size,sedan,ar
20873,7302569816,little rock,20800,2014,chevrolet,silverado 1500 work tr,gas,70300,automatic,full-size,truck,ar
20884,7302387645,little rock,27860,2014,gmc,sierra 1500 slt,gas,95000,automatic,full-size,truck,ar
20886,7302293851,little rock,32888,2019,ram,1500,gas,68300,automatic,full-size,truck,ar
20887,7302290435,little rock,0,2018,ram,2500,diesel,20492,automatic,full-size,truck,ar
20888,7302279286,little rock,43720,2018,chevrolet,silverado 2500hd 4x4,diesel,84250,automatic,full-size,truck,ar
20891,7302271685,little rock,28174,2018,chevrolet,traverse premier,gas,87200,automatic,full-size,SUV,ar
20892,7302269519,little rock,25900,2019,nissan,frontier sv crew cab,gas,8400,automatic,mid-size,truck,ar
20893,7302266549,little rock,20700,2019,gmc,terrain sle,gas,36840,automatic,full-size,SUV,ar
20895,7302215187,little rock,7500,1965,harley-davidson,davidson,gas,1000,manual,compact,other,ar
20908,7302158145,little rock,17250,2018,hyundai,santa fe sport,gas,47000,automatic,full-size,SUV,ar
20914,7302125645,little rock,26900,2018,dodge,challenger sxt plus,gas,46000,automatic,full-size,coupe,ar
20923,7302099618,little rock,18900,2007,ram,3500 slt dually,diesel,220222,manual,full-size,truck,ar
20951,7301698481,little rock,21500,2017,dodge,charger,gas,90122,automatic,full-size,sedan,ar
20965,7316790647,texarkana,2850,2005,chevrolet,impala,gas,231000,automatic,mid-size,sedan,ar
20979,7316193099,texarkana,0,2015,ford,f-150,gas,199426,automatic,full-size,pickup,ar
20980,7316192538,texarkana,0,2015,honda,civic sedan lx,gas,57835,automatic,mid-size,sedan,ar
20991,7315201544,texarkana,4900,2011,toyota,corolla le,gas,193000,automatic,compact,sedan,ar
20999,7314511408,texarkana,0,2017,ford,f-350,gas,198212,automatic,full-size,pickup,ar
21005,7313958606,texarkana,0,2015,ram,1500 ecodiesel,diesel,116425,automatic,full-size,pickup,ar
21006,7313931548,texarkana,0,2012,ford,f-350,diesel,232175,automatic,full-size,pickup,ar
21011,7313471129,texarkana,0,2013,ford,f-150,gas,191165,automatic,full-size,pickup,ar
21012,7313470529,texarkana,0,2015,chevrolet,silverado 2500hd,diesel,186091,automatic,full-size,pickup,ar
21026,7313139984,texarkana,7500,2005,ford,f-250,diesel,359536,automatic,full-size,truck,ar
21032,7312583398,texarkana,32500,2013,jeep,wrangler,gas,38670,automatic,mid-size,SUV,ar
21044,7311595915,texarkana,3000,2008,honda,pilot ll,gas,151631,manual,mid-size,SUV,ar
21045,7311587770,texarkana,87700,2020,ford,f250 king ranch,diesel,12900,automatic,full-size,truck,ar
21046,7311556259,texarkana,26888,2018,chevrolet,colorado crew cab lt,gas,47000,automatic,mid-size,truck,ar
21058,7310576081,texarkana,35000,2017,jeep,wrangler unlmtd. sahara 4x4,gas,60840,automatic,full-size,SUV,ar
21067,7309462672,texarkana,60000,1967,ford,bronco,gas,800,automatic,full-size,offroad,ar
21068,7309453722,texarkana,35000,1976,ford,bronco,gas,1600,automatic,full-size,offroad,ar
21073,7308902896,texarkana,38990,2018,ford,f-150,gas,43200,automatic,full-size,truck,ar
21090,7308264124,texarkana,0,2015,ford,f-150,gas,98446,automatic,full-size,pickup,ar
21101,7307718299,texarkana,0,2012,chevrolet,tahoe lt,gas,171611,automatic,full-size,SUV,ar
21102,7307698472,texarkana,0,2018,hyundai,sonata,gas,131538,automatic,full-size,sedan,ar
21103,7307698146,texarkana,0,2015,ram,1500 4x4,gas,169275,automatic,full-size,pickup,ar
21104,7307685070,texarkana,0,2016,kia,sorento lx,gas,114169,automatic,mid-size,SUV,ar
21105,7307681520,texarkana,0,2015,ram,1500,diesel,165769,automatic,full-size,pickup,ar
21106,7307674479,texarkana,0,2016,nissan,frontier,gas,194102,automatic,full-size,pickup,ar
21107,7307369688,texarkana,5500,2012,ford,focus,gas,155920,automatic,mid-size,hatchback,ar
21120,7305981508,texarkana,6600,2007,dodge,magnum,gas,155468,automatic,full-size,wagon,ar
21121,7305977211,texarkana,12500,2004,dodge,2500,diesel,246598,automatic,full-size,pickup,ar
21125,7305428534,texarkana,0,2013,ford,expedition,gas,160675,automatic,full-size,sedan,ar
21126,7305427484,texarkana,0,2011,honda,accord,gas,164646,automatic,full-size,coupe,ar
21127,7305425578,texarkana,6999,2004,honda,accord ex-l,gas,158035,automatic,full-size,sedan,ar
21128,7305425097,texarkana,0,2009,mitsubishi,lancer gts,gas,169429,automatic,full-size,sedan,ar
21129,7305424854,texarkana,0,2015,chevrolet,silverado 2500hd,gas,143939,automatic,full-size,pickup,ar
21130,7305363719,texarkana,0,2015,kia,optima lx,gas,149315,automatic,full-size,sedan,ar
21131,7305347975,texarkana,0,2017,toyota,camry,gas,175973,automatic,full-size,sedan,ar
21138,7304384587,texarkana,14900,2014,gmc,acadia denali,gas,136000,automatic,mid-size,SUV,ar
21143,7303933502,texarkana,15000,1923,ford,t-bucket roadster,gas,1000,automatic,full-size,convertible,ar
21149,7303788151,texarkana,23999,2016,ram,1500,gas,126200,automatic,full-size,truck,ar
21153,7303148291,texarkana,54988,2019,ram,pickup 1500,gas,11096,automatic,full-size,pickup,ar
21164,7302193320,texarkana,8500,2009,ford,expedition eddie bauer,gas,186700,automatic,full-size,SUV,ar
21174,7316887125,bakersfield,11975,2003,harley-davidson,davidson,gas,207000,automatic,full-size,pickup,ca
21175,7316876945,bakersfield,0,2014,nissan,rogue,gas,47287,automatic,full-size,SUV,ca
21176,7316874004,bakersfield,21950,2003,chevrolet,silverado 3500,diesel,202537,automatic,full-size,truck,ca
21185,7316856011,bakersfield,3975,2006,pontiac,g6,gas,187000,automatic,mid-size,sedan,ca
21187,7316838447,bakersfield,32500,1987,volkswagen,vanagon,gas,177313,automatic,mid-size,mini-van,ca
21189,7316828666,bakersfield,0,2018,hyundai,accent,gas,55985,automatic,full-size,sedan,ca
21191,7316806361,bakersfield,13999,2010,lexus,rx 350,gas,115012,automatic,full-size,SUV,ca
21192,7316804283,bakersfield,5995,2011,nissan,leaf,electric,52396,automatic,mid-size,hatchback,ca
21194,7316803630,bakersfield,11995,2015,nissan,altima ￼,gas,102457,automatic,full-size,sedan,ca
21195,7316802932,bakersfield,17995,2018,honda,civic,gas,33603,manual,full-size,sedan,ca
21196,7316801098,bakersfield,12995,2012,toyota,corolla s,gas,80410,automatic,mid-size,sedan,ca
21197,7316797512,bakersfield,0,2016,honda,crv ex awd,gas,87775,automatic,mid-size,SUV,ca
21199,7316778214,bakersfield,0,2016,honda,civic sedan,gas,43794,automatic,full-size,sedan,ca
21202,7316759589,bakersfield,25500,2014,chevrolet,camaro rs,gas,29500,automatic,mid-size,coupe,ca
21208,7316709345,bakersfield,11200,2014,toyota,camry,gas,44000,automatic,mid-size,sedan,ca
21210,7316655153,bakersfield,0,2014,jeep,wrangler sahara 4wd,gas,83862,automatic,full-size,offroad,ca
21212,7316613709,bakersfield,36950,2007,ram,2500 quad cab,diesel,121349,automatic,full-size,truck,ca
21213,7316613627,bakersfield,31950,2006,ford,f250 super duty,diesel,98740,automatic,full-size,truck,ca
21214,7316613598,bakersfield,36950,2018,chevrolet,silverado 2500 hd,gas,97602,automatic,full-size,truck,ca
21215,7316607969,bakersfield,9000,1981,chevrolet,blazer,gas,10,automatic,full-size,other,ca
21223,7316586573,bakersfield,5500,2005,chevrolet,astro transit van,gas,130000,automatic,compact,van,ca
21224,7316568765,bakersfield,5975,2011,kia,soul,gas,149000,manual,mid-size,SUV,ca
21227,7316542442,bakersfield,6975,2006,chevrolet,tahoe,gas,100981,automatic,full-size,SUV,ca
21229,7316518166,bakersfield,6900,2006,volkswagen,gti,gas,104000,automatic,compact,hatchback,ca
21232,7316497279,bakersfield,1000,1998,ford,f-150,gas,2000,manual,full-size,pickup,ca
21240,7316458074,bakersfield,6000,2013,fiat,500,gas,90000,manual,compact,coupe,ca
21241,7316450918,bakersfield,0,2017,kia,forte,gas,40816,automatic,full-size,sedan,ca
21250,7316419496,bakersfield,0,2015,chevrolet,silverado 1500 lt,gas,62988,automatic,full-size,pickup,ca
21251,7316408028,bakersfield,0,2017,honda,accord sedan,gas,92503,automatic,full-size,sedan,ca
21258,7316361541,bakersfield,0,2017,honda,civic sedan,gas,53045,automatic,full-size,sedan,ca
21276,7316317830,bakersfield,14500,2002,toyota,4runner,gas,94000,automatic,full-size,SUV,ca
21278,7316311950,bakersfield,0,2018,honda,civic sedan,gas,75708,automatic,full-size,sedan,ca
21287,7316290276,bakersfield,38000,1955,chevrolet,210,gas,1400,manual,full-size,sedan,ca
21293,7316127051,bakersfield,0,2015,chrysler,300 300s sedan 4d,gas,76610,automatic,full-size,sedan,ca
21294,7316054682,bakersfield,45000,2016,gmc,sierra 1500 slt 4x4,gas,39000,automatic,full-size,truck,ca
21298,7316022155,bakersfield,6975,2014,kia,forte,gas,128000,automatic,mid-size,sedan,ca
21299,7316014847,bakersfield,8500,2007,gmc,yukon,gas,138764,automatic,full-size,SUV,ca
21300,7315999829,bakersfield,36900,2017,jeep,wrangler unlimited sport,gas,21517,automatic,full-size,SUV,ca
21304,7315970736,bakersfield,8500,2008,mercedes-benz,benz e350 sport,gas,128000,automatic,full-size,sedan,ca
21306,7315958856,bakersfield,0,2016,ford,expedition limited,gas,61738,automatic,full-size,SUV,ca
21307,7315947237,bakersfield,0,2017,kia,forte,gas,40816,automatic,full-size,sedan,ca
21309,7315928827,bakersfield,0,2010,honda,accord ex-l sedan,gas,127578,automatic,full-size,sedan,ca
21311,7315916772,bakersfield,36250,2014,gmc,sierra,gas,92687,automatic,full-size,truck,ca
21312,7315912229,bakersfield,0,2019,cadillac,xts,gas,66403,automatic,full-size,sedan,ca
21317,7315880361,bakersfield,6500,1986,ford,bronco eddie bauer,gas,151000,automatic,full-size,truck,ca
21318,7315875985,bakersfield,0,2007,bmw,335i,gas,124416,manual,compact,sedan,ca
21319,7315873025,bakersfield,0,2014,nissan,rogue,gas,47287,automatic,full-size,SUV,ca
21322,7315867246,bakersfield,36885,2017,ram,1500,gas,61400,automatic,full-size,offroad,ca
21325,7315855715,bakersfield,14500,2008,bmw,650i convertible,gas,146200,automatic,mid-size,convertible,ca
21328,7315832376,bakersfield,0,2018,hyundai,accent,gas,55985,automatic,full-size,sedan,ca
21334,7315816789,bakersfield,0,2017,chevrolet,silverado 1500 lt 4x4,gas,79384,automatic,full-size,offroad,ca
21338,7315792722,bakersfield,0,2016,honda,civic sedan,gas,43794,automatic,full-size,sedan,ca
21339,7315781798,bakersfield,0,2017,honda,accord sport sedan 4d,gas,25498,automatic,full-size,sedan,ca
21349,7315650748,bakersfield,5600,2012,toyota,yaris,gas,80000,automatic,mid-size,sedan,ca
21352,7315636963,bakersfield,9250,1962,ford,galaxie 500,gas,64556,manual,full-size,sedan,ca
21354,7315629109,bakersfield,9597,2014,kia,optima,gas,145789,automatic,mid-size,sedan,ca
21356,7315628996,bakersfield,9663,2016,hyundai,elantra,gas,106992,automatic,mid-size,sedan,ca
